,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,base_rdkit_smiles
0,SZEMGTQCPRNXEG-UHFFFAOYSA-M,-3.6161271205,0.0,1,G1,392.5100000000002,3.9581000000000017,102.44540000000008,23.0,0.0,0.0,2.0,17.0,142.0,0.0,0.0,0.0,0.0,0.0,158.52060058500794,0.0,210.377334085253,CCCCCCCCCCCCCCCCCC[N+](C)(C)C
1,GPYLCFQEKPUWLD-UHFFFAOYSA-N,-3.2547670983,0.0,1,G1,169.18299999999996,2.405500000000001,51.90120000000002,13.0,1.0,1.0,2.0,0.0,62.0,2.0,0.0,1.0,3.0,29.1,75.18356289575135,2.5829963936570306,511.2292477154965,O=C1Nc2cccc3cccc1c23
2,AVPYQKSLYISFPO-UHFFFAOYSA-N,-2.1770779444,0.0,1,G1,140.569,2.1525,36.839500000000015,9.0,1.0,0.0,2.0,1.0,46.0,1.0,0.0,0.0,1.0,17.07,58.261133560819005,3.009781947786601,202.66106510209755,O=Cc1ccc(Cl)cc1
3,XTUPUYCJWKHGSW-UHFFFAOYSA-L,-3.9244090954,0.0,1,G1,756.2260000000002,8.11610000000001,200.7105999999995,53.0,6.0,2.0,7.0,10.0,264.0,6.0,0.0,0.0,6.0,120.72,323.7554336987488,2.322962880266304e-07,1964.648665828827,CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1
4,FAUAZXVRLVIARB-UHFFFAOYSA-N,-4.6620645831,0.0,1,G1,422.5250000000002,2.4854000000000003,119.07600000000004,31.0,6.0,0.0,6.0,12.0,164.0,2.0,4.0,4.0,6.0,56.6,183.18326845703425,1.0844273169718197,769.8999341256456,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1
5,JZHGRUMIRATHIU-UHFFFAOYSA-N,-3.1231503041,0.0,1,G1,118.179,2.638020000000001,41.27000000000002,9.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,0.0,1.0,0.0,55.83662643050253,3.070760681783566,211.03322454352,C=Cc1cccc(C)c1
6,WVRFSLWCFASCIS-UHFFFAOYSA-N,-3.286116314,0.0,1,G1,170.25199999999998,2.6775,47.99180000000002,12.0,1.0,1.0,2.0,4.0,70.0,0.0,1.0,1.0,1.0,37.3,73.97365475610957,2.1458390567501127,153.9175691117035,CCC1CCC(CCC(=O)O)C1
7,SEKYBDYVXDAYPY-UHFFFAOYSA-N,-2.6645485391,0.0,1,G1,376.4490000000002,0.5283999999999995,96.43820000000002,27.0,6.0,4.0,6.0,2.0,148.0,0.0,3.0,4.0,4.0,115.06000000000002,158.13554184614785,1.7769779303753035,755.7707920367225,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO
8,LSQARZALBDFYQZ-UHFFFAOYSA-N,-4.396652184700001,0.4315126480999995,2,G3,218.202,3.195800000000001,56.232500000000016,16.0,1.0,0.0,3.0,2.0,80.0,2.0,0.0,0.0,2.0,17.07,91.34603234585384,2.315627695408683,452.9607327512057,O=C(c1ccc(F)cc1)c1ccc(F)cc1
9,BYQDGAVOOHIJQS-UHFFFAOYSA-N,-4.595502563999999,0.1185512819999998,2,G3,342.391,3.497200000000002,93.50200000000004,25.0,5.0,0.0,5.0,10.0,132.0,2.0,0.0,0.0,2.0,61.830000000000005,147.07171412934204,1.447049640012117,582.1507932669278,O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1
